"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C2,C1,C4,C7";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"100 nF";;;
2;"G***";"logoKuleuven2";1;"LOGO";;;
3;"G***";"logoDramco2";1;"LOGO";;;
4;"J3";"ConnectorHorizontalPcb";1;"Conn_02x03_Top_Bottom";;;
5;"U1";"PIC16F18446SSOP20PIN";1;"PIC16F18446";;;
6;"J4";"PinHeader_1x01_P2.54mm_Vertical";1;"VanalogTestPin";;;
7;"U2,U3";"TLV341 SOT-23-6";2;"TLV341A";;;
8;"C3";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"47 nF";;;
9;"C5,C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"2.2 nF";;;
10;"J1,J2";"PinHeader_1x06_P2.54mm_Vertical";2;"ProgramPic";;;
11;"MK1";"VESPER_VM1010";1;"VesperVM1010";;;
12;"R1,R6,R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"10k";;;
13;"R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"120k";;;
14;"R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"18k";;;
15;"R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"560k";;;
16;"R8";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2.7k";;;
17;"R9";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1k";;;
18;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED";;;
19;"R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"470";;;
